vhigh,med,2,4,small,high,acc
vhigh,med,2,4,med,high,acc
vhigh,med,2,4,big,med,acc
vhigh,med,2,4,big,high,acc
vhigh,med,2,more,med,high,acc
vhigh,med,2,more,big,med,acc
vhigh,med,2,more,big,high,acc
vhigh,med,3,4,small,high,acc
vhigh,med,3,4,med,high,acc
vhigh,med,3,4,big,med,acc
vhigh,med,3,4,big,high,acc
vhigh,med,3,more,small,high,acc
vhigh,med,3,more,med,med,acc
vhigh,med,3,more,med,high,acc
vhigh,med,3,more,big,med,acc
vhigh,med,3,more,big,high,acc
vhigh,med,4,4,small,high,acc
vhigh,med,4,4,med,med,acc
vhigh,med,4,4,med,high,acc
vhigh,med,4,4,big,med,acc
vhigh,med,4,4,big,high,acc
vhigh,med,4,more,small,high,acc
vhigh,med,4,more,med,med,acc
vhigh,med,4,more,med,high,acc
vhigh,med,4,more,big,med,acc
vhigh,med,4,more,big,high,acc
vhigh,med,5more,4,small,high,acc
vhigh,med,5more,4,med,med,acc
vhigh,med,5more,4,med,high,acc
vhigh,med,5more,4,big,med,acc
vhigh,med,5more,4,big,high,acc
vhigh,med,5more,more,small,high,acc
vhigh,med,5more,more,med,med,acc
vhigh,med,5more,more,med,high,acc
vhigh,med,5more,more,big,med,acc
vhigh,med,5more,more,big,high,acc
vhigh,low,2,4,small,high,acc
vhigh,low,2,4,med,high,acc
vhigh,low,2,4,big,med,acc
vhigh,low,2,4,big,high,acc
vhigh,low,2,more,med,high,acc
vhigh,low,2,more,big,med,acc
vhigh,low,2,more,big,high,acc
vhigh,low,3,4,small,high,acc
vhigh,low,3,4,med,high,acc
vhigh,low,3,4,big,med,acc
vhigh,low,3,4,big,high,acc
vhigh,low,3,more,small,high,acc
vhigh,low,3,more,med,med,acc
vhigh,low,3,more,med,high,acc
vhigh,low,3,more,big,med,acc
vhigh,low,3,more,big,high,acc
vhigh,low,4,4,small,high,acc
vhigh,low,4,4,med,med,acc
vhigh,low,4,4,med,high,acc
vhigh,low,4,4,big,med,acc
vhigh,low,4,4,big,high,acc
vhigh,low,4,more,small,high,acc
vhigh,low,4,more,med,med,acc
vhigh,low,4,more,med,high,acc
vhigh,low,4,more,big,med,acc
vhigh,low,4,more,big,high,acc
vhigh,low,5more,4,small,high,acc
vhigh,low,5more,4,med,med,acc
vhigh,low,5more,4,med,high,acc
vhigh,low,5more,4,big,med,acc
vhigh,low,5more,4,big,high,acc
vhigh,low,5more,more,small,high,acc
vhigh,low,5more,more,med,med,acc
vhigh,low,5more,more,med,high,acc
vhigh,low,5more,more,big,med,acc
vhigh,low,5more,more,big,high,acc
high,high,2,4,small,high,acc
high,high,2,4,med,high,acc
high,high,2,4,big,med,acc
high,high,2,4,big,high,acc
high,high,2,more,med,high,acc
high,high,2,more,big,med,acc
high,high,2,more,big,high,acc
high,high,3,4,small,high,acc
high,high,3,4,med,high,acc
high,high,3,4,big,med,acc
high,high,3,4,big,high,acc
high,high,3,more,small,high,acc
high,high,3,more,med,med,acc
high,high,3,more,med,high,acc
high,high,3,more,big,med,acc
high,high,3,more,big,high,acc
high,high,4,4,small,high,acc
high,high,4,4,med,med,acc
high,high,4,4,med,high,acc
high,high,4,4,big,med,acc
high,high,4,4,big,high,acc
high,high,4,more,small,high,acc
high,high,4,more,med,med,acc
high,high,4,more,med,high,acc
high,high,4,more,big,med,acc
high,high,4,more,big,high,acc
high,high,5more,4,small,high,acc
high,high,5more,4,med,med,acc
high,high,5more,4,med,high,acc
high,high,5more,4,big,med,acc
high,high,5more,4,big,high,acc
high,high,5more,more,small,high,acc
high,high,5more,more,med,med,acc
high,high,5more,more,med,high,acc
high,high,5more,more,big,med,acc
high,high,5more,more,big,high,acc
high,med,2,4,small,high,acc
high,med,2,4,med,high,acc
high,med,2,4,big,med,acc
high,med,2,4,big,high,acc
high,med,2,more,med,high,acc
high,med,2,more,big,med,acc
high,med,2,more,big,high,acc
high,med,3,4,small,high,acc
high,med,3,4,med,high,acc
high,med,3,4,big,med,acc
high,med,3,4,big,high,acc
high,med,3,more,small,high,acc
